ambiguity,name,set_code,artist,discrepancy,correct_artists,correct_sets
928,deal damage,UNH,Scott Fischer,Artist not found in db,Scott M. Fischer,unh
942,debtor's knell,GPT,Kev Walker,Name not found in db,,
955,Deep-sea serpent,POR,Scott Fischer,Artist not found in db,Scott M. Fischer,por
956,defense grid,LRW,Mark Tedin,Set not found in dbgit ,"Mark Tedin, Jonas De Ro","mps, 9ed, 8ed, wc00, brr, ulg"
966,deglamer,MOR,Z Boros and G Szikszai,Artist not found in db,Zoltan Boros & Gabor Szikszai,"mor, plst"
967,delight in the hunt,ARC,Titus Lunter,Set not found in dbgit ,Titus Lunter,oe01
994,desert,TSP,Jesper Myrfors,Set not found in dbgit ,"Glen Angus, Jesper Myrfors, Lucas Graciano","afc, arn, f08, prm, plst, tsb, spg, v12"
998,desolation giant,TSP,Alan Pollack,Set not found in dbgit ,Alan Pollack,"tsb, cm2, c15, apc"
999,desolation giant,TSP,Alan Pollack,Set not found in dbgit ,Alan Pollack,"tsb, cm2, c15, apc"
1001,desolation giant,TSP,Alan Pollack,Set not found in dbgit ,Alan Pollack,"tsb, cm2, c15, apc"
1002,desolation giant,TPS,Alan Pollack,Set not found in dbgit ,Alan Pollack,"tsb, cm2, c15, apc"
1003,desolation giant,TPS,Alan Pollack,Set not found in dbgit ,Alan Pollack,"tsb, cm2, c15, apc"
1005,desolation giant,TSP,Alan Pollack,Set not found in dbgit ,Alan Pollack,"tsb, cm2, c15, apc"
1006,desolation giant,"TSP, C15",Alan Pollack,Set not found in dbgit ,Alan Pollack,"tsb, cm2, c15, apc"
1021,devestation,POR,Steve Luke,Name not found in db,,
1022,devestation,POR,Steve Luke,Name not found in db,,
1023,devestation,POR,Steve Luke,Name not found in db,,
1024,devestation,S99,Steve Luke,Name not found in db,,
1025,devour in shadow,5DN,Thomas M Baxa,Artist not found in db,Thomas M. Baxa,5dn
1027,diabolic servitude,USG,Scott Fischer,Artist not found in db,Scott M. Fischer,"c15, cma, usg, plst, td2, pd3"
1051,divine offering,CHR,Jeff A Menges,Artist not found in db,"Terese Nielsen, Jeff A. Menges","mir, bchr, leg, mbs, me4, 5ed, chr, ptc"
1069,"dorat, the perfect pet / sprite dragon",IKO,Simon Dominic,Name not found in db,,
